Name,Location,Website,Phone,Type,Notes,Sent,Reply,Status
Vilamoura Watersports Centre,Vilamoura Marina,https://www.watersportsvilamoura.com/,+351 937 777 913,"Jet ski, parasailing, boat tours, fishing, dolphin","30+ years. Biggest in region. Likely has booking already — pitch CRM/backoffice upgrade not full rebuild.",,,New
Watersports Algarve,Vilamoura,https://watersportsalgarve.com/,,"Jet ski, boat trips",Domain + branding overlap with Vilamoura Watersports — check if same owner.,,,New
Algarve Jet Ski Rental,Algarve (multi),https://www.algarvejetski.com/,,Jet ski specialist,Pure-play jet ski. Perfect fit for DNA-style booking flow + inventory mgmt.,,,New
Moments Watersports Algarve,Armação de Pêra Beach,https://momentswatersports.com/,,"Jet ski, SUP, tours",Beach-based → exact same ops problem DNA solved (beach concession + activities).,,,New
Watersports Albufeira,Albufeira,http://www.watersportsalbufeira.com/,,"Jet ski safari, tours","HTTP (no HTTPS) — huge red flag. Prime outreach target.",,,New
Dream Wave Algarve,Albufeira Marina,https://dreamwavealgarve.com/,,"Boat tours, jet ski, parasailing","Large fleet (6 boats + 2 jetboats + parasail). Complex ops = CRM pitch lands.",,,New
Nautifun Galé,Galé Beach Albufeira,,,"Jet ski no license","Check GBP — may not have website. Website-less = easiest pitch.",,,New
Ski Molhado,Oura Beach Albufeira,https://skimolhado.com/,,"Parasail, flyboard, banana, jet bike, SUP, kayak",Huge activity catalog = inventory/activity-control pain point. Perfect DNA match.,,,New
NauticDrive,Albufeira,https://nauticdrive-algarve.com/,,"Jet ski, SUP, inflatable tube",Mid-size operator. Likely DIY site.,,,New
Parasailing Algarve,Algarve,https://www.parasailingalgarve.com/,,Parasailing specialist,Pure-play. Simple product = simple booking flow pitch.,,,New
Algarve Watersport,Algarve,https://algarvewatersport.com/en/,,"Surf, kitesurf, wing, windsurf — school","School/lessons model not rental. CRM pitch = student mgmt + lesson scheduling.",,,New
